articleId,publishUrl,description,publishTime,Summary,allContent
961238,https://www.hk01.com/18區新聞/961238/黑雨水浸-港鐵招標緊急採購黃大仙站扶手電梯-需更換12條,香港9月遭受世紀暴雨影響，全港多區水浸，黃大仙成重災區。港鐵近日的招標文件顯示，黃大仙站受水浸影響，必須緊急採購扶手電梯，以確保安全可靠。,2023-11-13 11:57:02,['香港9月遭受世紀暴雨影響，全港多區水浸，黃大仙成重災區。港鐵近日的招標文件顯示，黃大仙站受水浸影響，必須緊急採購扶手電梯，以確保安全可靠。'],"黃大仙站於世紀暴雨期間嚴重水浸，曾封閉一整日，全站浸滿雨水，滿是泥濘。港鐵9月底表示，全站有14條扶手電梯，當時有九條仍然停運。
根據港鐵招標文件，黃大仙站受水浸影響之下，必須緊急採購扶手電梯，以替換受影響的扶手梯，確保其可以安全、可靠地運作。文件指，是次合約涉及更換12部扶手電梯，另加一部為選擇性，並非必須更換。是次招標期限為11月20日，項目需於2026年12月完成。
"
945174,https://www.hk01.com/社會新聞/945174/黑雨水浸-港鐵黃大仙站職員憶洪水淹浸一刻-陪乘客坐閘機等救援,9月7日深夜，天文台發出黑色最雨警告信號，雨水沿沿不絕湧進黃大仙站。高雲龍為該站高級車站管理主任，當時與同事處理水浸問題，準備沙包及防水板,2023-10-02 02:25:03,"['9月7日深夜，天文台發出黑色最雨警告信號，雨水沿沿不絕湧進黃大仙站。高雲龍為該站高級車站管理主任，當時與同事處理水浸問題，準備沙包及防水板。暴雨持續下，雨水流向月台，站內出現水浸，月台水深幾乎及腰，高雲龍決定立即疏散過百名乘客及職員。', '事隔半月後，高雲龍回憶當時情況，直言該站從未發生如斯嚴重水浸，疏散期間更有乘客由於本身的腳傷未能撤離，遂陪同他坐在閘機之上，等待消防員營救。他表示，事發當刻未有特別感受，「當其時都真係無諗過震驚或者其他感覺，只係諗到我要做啲乜嘢，保障到自己同其他人嘅安全」。', '黃大仙站於9月8日全日暫停服務服務，惟高雲龍幾乎全日無休，由9月7日下午5時工作，至9月8日中午12時多才下班回家稍息；下午5時再上班，至9月9日早上約7時多才下班。他表示：「都係自己責任嚟，因為黃大仙站係我管理。」']","大堂水浸至小腿　與行動不便乘客坐在閘機等待救援:
高雲龍於9月7日下午5時上班，直至翌日約中午12時多才下班，經歷整場暴雨。當晚約11時45分黃大仙站A及E出入口已出現水浸，他與同事放置防洪板；惟大約十分鐘，他從閉路電視發現，大量雨水突然從B出口湧入大堂，更流向月台，站內開始水浸，大堂水位一度達小腿。
情況愈趨緊急，高雲龍於約11時55分，決定全站緊急疏散，協助約100名乘客、商舖員工及承辦商職員離去。疏散期間，有一名男士稱本身有腳傷，行動不變，高遂與男子一同坐在閘機上等待救援，「盡量有幾高坐幾高」。幸而，消防員不久就到場。
職員人鏈清理污泥:
成功疏散及暫停列車服務後，黃大仙站暫時脫離最危急情況，惟全站已滿是積水。緊隨其後的是善後工作，除了高雲龍繼續駐守工作，港鐵設施維修工程師張俊年及其同事，亦到站支援。張表示，當務之急是以水泵抽乾車站，閘機、電梯等設備都會被浸壞。除了雨水，站內亦滿是泥濘，以及隨雨水沖入站內的垃圾，張表示需要剷走污泥，當時全員渾身濕透，滿腳泥濘，「做到泥鴨咁嘅樣」。
黃大仙站於9月8日全日暫停服務，因應事故，一共有逾600名港鐵員工，及逾100名承辦商職員處理該站及附近範圍的積水及復修工作。張俊年表示，同事未有後退，反而到交更時份，仍然繼續工作，更稱「有幾多做幾多啦」。他形容：「患難見真情」。
事實上，9月8日早上，記者亦於該站目睹職員，以人鏈形式清理污泥。
彩虹站趕及拉上防水閘逃過一劫:
今次暴雨港鐵共24個車站、逾200個系統或設備受影響。與黃大仙同區的彩虹站亦深受影響。覃英傑為9月7日晚上彩虹站的值班站長，他表示在黑雨生效後，防水板已不足以阻擋雨水，連接車站的行人隧道水浸及膝，需要拉上防水閘。根據港鐵提供的現場片段，雨水不斷湧進隧道，有打算離開隧道的路人跌倒，需抓緊扶手才免於被沖走。
覃英傑續指，過去約30年都未曾需要拉上防水閘，只在演練時使用，實際情況比演練更艱難，三人需出盡全力，期間叫喊發力，花數分鐘才關上，「同啲水鬥緊力」。
相對於黃大仙站，彩虹站的「災情」較輕，9月8日仍可維持部份服務。至於黃大仙站，直至9月9日凌晨1時，才完成該站隧道範圍的積水，高雲龍當日亦繼續通宵工作，直至清晨約7時開出頭班車才休息。對於有港鐵職員曾於水深及胸的隧道工作，引起社會爭議，他同意安全非常重要，工作環境需確保安全。
黃大仙站上周仍僅5條扶手電梯可服務:
9月9日清晨黃大仙站成功開出頭班車後，大約近早上10時，由於隧道頂部有滴水，令架空電纜受影響，服務需再暫停，直至近下午2時才再度回復服務。
事實上，事發約半個月後，現時黃大仙站都未完全恢復正常，14條扶手電梯中，直至上周僅五條重新服務，有過半數仍在修復。雖然如此，高雲龍仍然相當欣慰，「最開心就係喺黃大仙站無任何一位乘客或者員工受傷，呢樣嘢係最欣慰嘅。」
"
915343,https://www.hk01.com/社會新聞/915343/高鐵信號故障-議員-高鐵無延誤罰款制度-按港鐵罰則可達300萬,高鐵香港段日前發生故障，列車服務延誤至少兩小時，更涉延誤通報。按現時機制，港鐵其他鐵路線包括機場快線，或者前往羅湖站、落馬洲站等跨境服務，,2023-07-03 11:15:45,"['高鐵香港段日前發生故障，列車服務延誤至少兩小時，更涉延誤通報。按現時機制，港鐵其他鐵路線包括機場快線，或者前往羅湖站、落馬洲站等跨境服務，假如出現列車服務延誤，同樣須罰款。不過，據立法會議員張欣宇及田北辰所指，高鐵並沒有相關懲罰機制，換言之雖然今次事件即使引致四班列車取消，逾十班車延誤，卻毋須負出「代價」。如按照現行罰款機制，延誤超過兩小時並少於三小時的事故，港鐵須被罰款300萬元。', '張欣宇表示，高鐵網絡屬於另一個鐵路體系，跟隨內地安排，而且服務延誤未必完全與港鐵有關，故當初未有納入罰款機制。不過今次事故是西九龍站附近的信號系統故障，他認為假如高鐵香港段多次出現服務不穩，或如今次事故般可確認與港鐵有關，其實亦可研究設立罰款機制。田北辰亦指，相信設罰款機制可向港鐵施壓，更快處理事故。']","港鐵票價機制於2013年引入了「服務表現安排」，當發生服務延誤31分鐘或以上的服務延誤事故，而該事故本身屬於港鐵可控制範圍之內（即例如不包括天災因素），港鐵便須按延誤時間被罰款，再將款項用作票價優惠回饋乘客。今年起港鐵會將罰款用作半價日優惠，按機制計算，其他鐵路線如延誤逾兩小時，港鐵須被罰至少300萬元。
高鐵香港段於2018年9月通車，並沒有納入於「服務表現安排」的罰款機制之內。張欣宇表示，由於高鐵屬於另一個鐵路體系，本身跟從內地安排，與內地高鐵網絡接軌，異於一般本地鐵路，故當初並無納入罰款機制。
張欣宇認為，技術上並非不能懲罰港鐵，假如高鐵香港段服務持續不穩，便需研究是否設立懲罰機制，加強監管。他以是次事件為例，港鐵指香港西九龍站附近出現信號故障，明顯屬港鐵責任，就可以研究加以處分。
田北辰於港台節目亦表示，今次事故的責任明顯在港鐵一方，質疑為何不用受罰，並認為如設有機制，可以向港鐵施壓，提高處理事故的效率。
不過田北辰亦指，高鐵車票收入是按照比例，由港鐵與內地當局對分。他續稱，過往曾經討論，假如設罰款機制，會安排半價日回饋，但有關措施需要內地同意，當中涉及一定考驗。
"
915300,https://www.hk01.com/社會新聞/915300/高鐵信號故障-港鐵再致歉-仍需進一步分析成因-將檢討應變方案,高鐵香港段日前突然發生故障，部份列車取消或延期，大批乘客受影響。港鐵過境鐵路總管張志強今日（3日）會見傳媒時就事件致歉，指非常重視事件，初,2023-07-03 09:51:43,"['高鐵香港段日前突然發生故障，部份列車取消或延期，大批乘客受影響。港鐵過境鐵路總管張志強今日（3日）會見傳媒時就事件致歉，指非常重視事件，初步相信與信號系統出現問題有關，但仍需進一步分析具體成因。', '事故發生後，港鐵至少延遲約兩小時才向公眾通報。問及為何未即時通知公眾，張志強表示，高鐵運作與本地鐵路服務有異，需時評估實際影響。他又指，高鐵網絡達數萬公里，列車服務環環相扣，假如一個站點出現事故，需時與內地溝通。']","高鐵於7月1日傍晚故障，大約下午5時多已有乘客反映服務延遲，但港鐵一直未有對外公布，直至晚上近7時半才於傳媒群組通報；大約晚上8時，港鐵表示列車服務逐步恢復正常。港鐵早前指，共四班來往福田及深圳北的車次需要取消，逾10班車次因而延遲。
張志強今日再就事件致歉，指事故起原料與高鐵西九龍站附近的信號系統問題有關，但需時進一步研究確實原因，以避免事故再度發生。
對於當日未有即時公布，張志強指，高鐵涉及數公里的鐵路網絡，其運作與本地鐵路服務有異，整體車務協調環環相扣，即使只是一個站點故障，都需時與內地協調。他表示，正檢討當日的應變方案，包括發放資訊的速度，以及如何協助乘客。
"
911527,https://www.hk01.com/社會新聞/911527/港鐵檢討-維修缺人或輸入外勞-工會稱不可行-促改革培訓吸新血,政府獨立監督小組報告引述港鐵數據，港鐵整體維修保養人手編制短缺由2017年的6%增至去年的11.9%。立法會交通事務委員會委員張欣宇、鐵路工會聯合會,2023-06-22 03:20:55,['政府獨立監督小組報告引述港鐵數據，港鐵整體維修保養人手編制短缺由2017年的6%增至去年的11.9%。立法會交通事務委員會委員張欣宇、鐵路工會聯合會主席林偉強今日（22日）在港台節目均對輸入外勞持保留意見，認為無助解決短期人手不足，其中張稱，港鐵遇突發情況，搶修個別步驟往往須十數秒內完成，容錯率低，引入外勞溝通或有障礙而衍生問題。'],"張欣宇稱前線搶修容錯率低　外勞溝通或有障礙衍生問題:
對於港鐵研究輸入外勞，員張欣宇指，營運及維修等工種引入外勞見不到有可行性，例如維修工種，前線人員均以粵語溝通，往往要短時間內處理問題，「語言溝通好重要，前線人員好多突發情況須要喺十幾秒內完成」，同時工程容錯率很低，如引入外勞難確保能操本地粵語，溝通或有障礙而衍生問題。
張欣宇促改善待遇吸引新人入行:
張表示，檢討報告提到要加強企業文化、延長退休等，未可根本解決人手短缺問題，「真正嘅問題係留唔住人」，舉例現時港鐵入職的車務或維修前線員工月薪約1.7萬元，與一般零售店員或相若，但港鐵職員要上早更或特夜更次、要熟悉規章規程，需承受一定壓力，認為港鐵需要「捨得」將資源用於改善員工薪金及待遇，才可吸引新人入行。
鐵路工會聯合會：同事薪酬福利與社會脫節:
鐵路工會聯合會主席林偉強亦認為，近年來公司受離職潮以及退休潮影響流失大量人手，「每一個部門同事都有面對呢個問題，依家冇一個站嘅編制係足夠」。他又提及，港鐵職員曾經歷過兩次「凍薪」，令離職崗位的人手未能在短時間內補上，「依家薪酬福利同社會脫節，係咪真係喺市場上有足夠競爭力？」
林偉強對於輸入外勞持保留立場，他指，鐵路涉及專業知識及技術，外勞未必勝任，「我哋上錯粒螺絲都有機會會負上刑事負任，佢哋係咪同我哋一樣要負同樣負任先？」
他又指，與其輸入外勞，不如加強培訓，提高行業認受性及待遇，吸引年輕人加入。他表示，由於港鐵薪金落後市場，部份工程人員早已離職，轉到擔任其他工程工作。
陳恒鑌：應在迫不得已才考慮輸入外勞:
立法會交通事務委員會主席陳恒鑌則建議，港鐵公司可從兩方面著手以挽留本地人才，包括提升待遇及加強培訓，而對於輸入外勞他表示持開放態度，但他認為招聘到合資格人才有一定困難，認為港鐵應先從本地人才著手，「迫不得已」才考慮輸入外勞的做法。
"
911523,https://www.hk01.com/社會新聞/911523/港鐵5年投放逾650億保養-張欣宇指問題在於執行上-爭落好多功課,港鐵周三（21日）就公布檢討鐵路資產管理及維修保養制度報告，宣布未來5年投放超過650億元，用作更新鐵路設施及保養維修。曾於港鐵任職的立法會議,2023-06-22 02:14:36,['港鐵周三（21日）就公布檢討鐵路資產管理及維修保養制度報告，宣布未來5年投放超過650億元，用作更新鐵路設施及保養維修。曾於港鐵任職的立法會議員張欣宇今日（22日）在港台節目中指出，港鐵現有問題並非全與維修有關，而是執行制度的問題，如相關機制（ROC機制）下，定期維修工作可獲批准由其指定維修時期改期，導致長久下來「爭落好多功課」。'],"張欣宇：望改善執行制度:
張欣宇今日在港台節目指出，港鐵現有問題並非全與維修制度有關，而是在執行制度上的問題，如在ROC機制下，定期的維修工作可改期導致長久下來「爭落好多功課」。
張又指，港鐵應主要從三大方面落手改善執行制度包括錢、人手和時間。他認為港鐵昨日就檢討鐵路資產管理及維修保養制度的相關報告中針對人手的解決方案作用較微，「最重要嘅都係講緊成間公司，待遇同成個package到底留唔得住人」。
他提及，報告中迴避討論現時前線員工薪酬太低的情況，「前線人員人工實在太低，得17,000蚊，仲要返輪更，喺出面返份零售人工都高過佢哋」。他建議港鐵應加強培訓人手、改善工作環境並增加員工福利。
陳恒鑌冀維修保養延長時間　盡量在非常班時段內進行:
立法會交通事務委員會主席陳恒鑌則指，港鐵宣布未來5年投放650億元，保養維修以及更新鐵路設施，較過去增至20%，他認為做法合理，「以前成日都有人問香港路邊支架點解可以舊到咁都唔換」。
他續指，港鐵以RCM形式（Reliability Centered Maintenance，以可靠度為中心的維修）檢測列車，未來將擴展至其他基建，以確保安全，又提到港鐵用5億元買黃色工程車，望於晚上收車後加強維修保養，他舉例以往亦有延長時間進行列車保養的情況，已與港鐵公司進行初商，期望對市民的影響程度能減至最低，「希望市民要返工日子希望佢唔好搞」。
"
911461,https://www.hk01.com/社會新聞/911461/港鐵檢討維修-研究提早尾班車換施工時間-議員指或要早收1小時,港鐵陸續有多個工程項目上馬，有部份於現有鐵路線加設新站。港鐵今日（21日）公布鐵路資產管理及維修保養制度的專家檢討報告，當中提到現有的「黃,2023-06-21 13:19:41,"['港鐵陸續有多個工程項目上馬，有部份於現有鐵路線加設新站。港鐵今日（21日）公布鐵路資產管理及維修保養制度的專家檢討報告，當中提到現有的「黃金兩小時」維修保養時間不足，建議提早收車，或延後開出頭班車。另外，因應人手短缺，港鐵研究引入外勞。', '對於提早收車的建議，曾於港鐵任職的立法會議員張欣宇認為，並非所有鐵路線的維修時間都不足；但部份有新工程的線路，便有需要增加工程時間，否則或令工程延誤。他續指，假如調整班次，便不只是提早10分鐘收車，而是隨時提早一小時。他認為，由於深夜時間客量少，只要港鐵提供足夠接駁巴士，都可滿足需求。', '至於引入外勞，張欣宇認為，前線、維修職員未必適合，因為鐵路工作不容許犯大錯，如溝通上有問題，就可能產生嚴重後果。港鐵工會同樣指鐵路行業涉及專業知識、技術，未必是外勞可勝任。']","張欣宇表示，兩小時的維修保養時間，對不少鐵路線而言，其實本身都足夠。然而，屯馬線、東涌線等，之後都有新鐵路項目工程，涉及增加鐵路站，屆時兩小時便不足夠，隨時完成新工程，卻缺時間保養。他認為，應該實事求是，研究提早收車，以免工程延誤通車。
張欣宇：可研提早一小時收車　改接駁巴士載客:
至於要提早多少，張欣宇認為，假如實施，便不只是提早一兩班車結束，而是提前一小時才有作用。他表示，深夜時間客量較少，班次亦疏，一小時大約是六班車，或涉及千多名乘客，港鐵的接駁巴士可滿足乘客需求。
工會：唔想搶乘客時間做維修:
鐵路工會聯合會主席林偉強則表示，由鐵路尾班車至正式施工時間，其實當中亦有多個小時，認為港鐵可先從中爭取更多時間，「唔想搶乘客時間做維修」。然而張欣宇指，當中的時間涉及安全問題，工作人員落路軌前，需做足安全措施。不過他認同，可以透過科技提升安全，爭取更長維修時間。
外勞未必適合鐵路業　溝通不容有誤:
至於輸入外勞，張欣宇表示，假如只是興建鐵路，都可以接受；但如涉及前線、維修人員，則未必適合。他解釋，鐵路工作著重溝通，即使同樣說廣東話，都可能有誤解；假如引入外勞，溝通上可能更大問題，而鐵路工作不容許錯誤，一旦出錯隨時涉及嚴重後果。
林偉強亦認為，鐵路涉及專業知識及技術，外勞未必勝任。他又指，其實內地鐵路網絡都非常發達「搶人才」；與其輸入外勞，不如加強培訓，提高行業認受性及待遇，吸引年輕人加入。他表示，由於港鐵薪金落後市場，部份工程人員早已離職，轉到擔任其他工程工作。
"
911436,https://www.hk01.com/政情/911436/港鐵檢討維修-林世雄-密切監察落實-輸入外勞緩缺人手言之尚早,運輸及物流局局長林世雄稱，已收到港鐵就加強鐵路資產管理及維修保養制度的報告，及當局另外成立的獨立監督小組報告，政府將密切監督港鐵全面落實有,2023-06-21 11:23:03,['運輸及物流局局長林世雄稱，已收到港鐵就加強鐵路資產管理及維修保養制度的報告，及當局另外成立的獨立監督小組報告，政府將密切監督港鐵全面落實有關措施；至於港鐵表示不排除任何招聘人手的方法，包括輸入勞工應對人手不足，林世雄認為言之尚早。'],"港鐵去年11月先有列車於油麻地站出軌甩門，再於12月發生將軍澳線列車脫鈎，令將軍澳區交通癱瘓。港鐵隨後檢討鐵路資產管理及維修保養制度後，今日（21日）交代檢討結果，指未來五年將投放650億元更新保養及擬縮短營運時間以進行維修保養。
林世雄指，港鐵的報告已採納獨立監督小組的建議，政府會密切監察港鐵全面落實所有跟進措施，確保港鐵資產管理及維修保養為時俱進，為市民提供安全可靠的鐵路服務。
被問及港鐵的檢討報告建議在用盡所有可能方法下，延長非行車時間進行進行維修保養，會否令鐵路營運時間縮短影響對市民服務？林世雄表示，一般情況下，都能夠在非行車時間內做完，報告提到包括會利用科技提升維修效率，認為未來當遇到具體情況，需要在非行車時間以外進行維修，港鐵將會與政府商討，在營運及維修之間作出取捨及平衡。
至於港鐵會否輸入外勞以應對人手不足的問題，林世雄表示港鐵正積極招聘人手，並確保維修隊伍人手，亦會通過外判商增加人手，輸入勞工實屬言之尚早。
"
911402,https://www.hk01.com/社會新聞/911402/港鐵檢討維修-維修人手缺12-致推遲維修-港鐵研究輸入外勞,港鐵去年11月先有列車於油麻地站出軌甩門；再於12月發生將軍澳線列車脫鈎，令將軍澳區交通癱瘓。港鐵隨後檢討鐵路資產管理及維修保養制度，並於今,2023-06-21 10:24:08,"['港鐵去年11月先有列車於油麻地站出軌甩門；再於12月發生將軍澳線列車脫鈎，令將軍澳區交通癱瘓。港鐵隨後檢討鐵路資產管理及維修保養制度，並於今日（21日）交代檢討報告。另外，政府亦成立獨立監督小組，小組亦已提交報告。', '綜合兩份報告，港鐵的整體維修保養人手出現短缺，而且有惡化趨勢，由2017年的6%，增加至2022年11.9%，尤其在軌道工務嚴重。由於人手短缺，部份維修保養工作未能如期完成，不過只要實施緩解措施，港鐵便會容許改期維修。獨立監督小組認為，長遠而言，積存的逾期維修保養工作，會帶來營運風險。', '港鐵表示，會透過不同方式增聘人手，包括引入外勞，正就此與政府溝通商討。問到哪些職位引入外勞，港鐵強調，仍處於討論階段，未落實有關措施。']","據獨立監督小組報告，港鐵維修保養人手的短缺問題有上升趨勢，由2017年的6%空缺率，增至2022年的11.9%，短缺情況於電力配送系統、軌道工務，以及特定職級尤為嚴重。小組認為，持續人手緊張，或會影響產量及員工士氣。
人手問題令維修未能完成:
報告又指，由於人手問題，以及維修時段的分配問題，令到有部份維修保養工作未能如期完成。港鐵現時的做法，是按照相關資產、設備的狀況，制定風險緩解措施，之後發出繼續使用特許，另擇日子維修保養。小組認為，長遠而言，積存的逾期維修保養工作，可帶來營運風險。
50場招聘會已聘800人:
因應人手問題，港鐵香港客運服務總監楊美珍表示，已實施一系列措施，包括員工推薦計劃、安排延遲退休等；之前亦舉行了50多場招聘會，聘用了800多人。對於會否引入外勞，楊表示會研究不同方法，包括引入外勞，並就此與政府溝通；但強調仍在商討中。
"
910633,https://www.hk01.com/社會新聞/910633/港鐵灣仔站列車緊急出口被打開-張欣宇-車長應與乘客更好溝通,港鐵港島線列車服務昨晚（19日）一度受阻。立法會議員張欣宇今早（20日）在電台節目表示，近年來類似事故經常發生，這次不幸的是在處理過程中有乘,2023-06-20 02:00:08,"['港鐵港島線列車服務昨晚（19日）一度受阻。立法會議員張欣宇今早（20日）在電台節目表示，近年來類似事故經常發生，這次不幸的是在處理過程中有乘客推開緊急門，導致過程中需要多花費時間去處理，又認為車長當時應該可以與乘客溝通得更好。', '他表示，人手不足亦是處理事故須時的原因，促港鐵解決人手問題，並加強宣傳教育應付緊急情況方法，避免類似情況再次發生。']","對於港鐵近期發生多次事故。張欣宇今早在港台節目《千禧年代》表示，昨日港島線列車服務受阻是因列車停放位置不正，不幸的是在過程中有乘客推開緊急門，導致處理過程需要多花費時間去處理。
列車停泊位置不正是經常發生:
張欣宇指，列車停放位置不正的事故經常發生，正常處理程序只須花上數分鍾。他推測是次意外發生與近日社會氣氛有關，乘客可能因等候時間太長而鼓譟。
他又提及，列車緊急門是離開不安全車廂的途徑，因此設計上不會有太多限制，「情況等同你坐飛機道逃生門，除非面對好緊急嘅事件，如果唔係都唔可以隨意打開」。
他建議，港鐵能利用廣播與乘客多作溝通，「畀佢哋了解發生緊咩事，令佢哋可以安心啲」。
他又指，港鐵前線長期人手短缺，質疑訓練及演練是否足夠指「寧願安全，都唔好貪快」，以免為了高效而做漏基本工作，促請港鐵解決人手不足問題。
他又指，港鐵應多做宣傳教育，令乘客明白打開緊急出口，走到路軌是非常危險的情況，避免類似情況再次發生。
"
